HPV.type	comparison	logistic.regression.pvalue	logistic.regression.fdr	hpv.type.cor	linear.regression.pvalue	linear.regression.fdr	limma.voom.pvalue	limma.voom.fdr	fe.percent.detection.gt50	fe.percent.detection.lt50	fe.detection.diff	fe.pvalue	fe.fdr	ks.avg.pos	ks.avg.neg	ks.detection.diff	ks.pvalue	ks.fdr
HPV16	Overall	0.676161549281612	0.831158779623794	0.00320739717148702	0.748080465733288	0.841590523949949	0.660089057400115	0.772856828595752	56.8	46.9	9.9	0.473548905952654	0.742966751918158	52	50	2	0.998237836237629	0.998237836237629
HPV18	Overall	0.343098224940255	0.650964897611264	-0.124816444596139	0.380306985984258	0.707663081048916	0.674845222161369	0.772856828595752	18.9	34.4	-15.5	0.175901154236053	0.742966751918158	48	52	-4	0.524343208118198	0.943817774612756
HPV31	Overall	0.738807804110039	0.831158779623794	0.0234541384056934	0.900861960534679	0.900861960534679	0.490566821320109	0.772856828595752	2.7	3.1	-0.4	1	1	48	51	-3	0.781615767097376	0.998237836237629
HPV33	Overall	0.0942629560621919	0.650964897611264	0.20514905338206	0.0859036910286266	0.707663081048916	0.884121864152166	0.884121864152166	5.4	0	5.4	0.495311167945439	0.742966751918158	71	51	20	0.259168102130152	0.908369046596445
HPV45	Overall	0.361647165339591	0.650964897611264	-0.133283282967957	0.298197119710312	0.707663081048916	0.0298742848323048	0.134434281745372	5.4	9.4	-4	0.657079188323224	0.844816099272716	46	52	-6	0.382474213279755	0.908369046596445
HPV58	Overall	0.915061889311116	0.915061889311116	0.12257817521279	0.582577384344233	0.749028065585443	0.0139701381001422	0.12573124290128	13.5	6.2	7.3	0.437395543342789	0.742966751918158	52	51	1	0.914053417120831	0.998237836237629
HPV59	Overall	0.331028987752581	0.650964897611264	0.174038725935187	0.166163520940247	0.707663081048916	0.0616670448150283	0.185001134445085	2.7	0	2.7	1	1	72	51	21	0.403719576265086	0.908369046596445
HPV67	Overall	0.704790002830765	0.831158779623794	-0.0751837664355603	0.533768083287709	0.749028065585443	0.686983847640668	0.772856828595752	0	3.1	-3.1	0.463768115942029	0.742966751918158	46	51	-5	0.877312125473303	0.998237836237629
HPV73	Overall	0.314948731203359	0.650964897611264	0.116203939816742	0.393146156138287	0.707663081048916	0.294223125180005	0.662002031655012	5.4	0	5.4	0.495311167945439	0.742966751918158	61	51	10	0.353398922584268	0.908369046596445
HPV16	Frozen	0.727669567040056	0.727669567040056	0.042129613789513	0.49957477318722	0.630446061769256	0.603192121907181	0.682221538678524	53.3	50	3.3	1	1	52	50	2	0.998382046505458	0.998382046505458
HPV18	Frozen	0.426984368698125	0.711640614496875	-0.139097136456928	0.630446061769256	0.630446061769256	0.682221538678524	0.682221538678524	20	33.3	-13.3	0.66183574879227	1	47	53	-6	0.910954986355843	0.998382046505458
HPV45	Frozen	0.337845050369754	0.711640614496875	-0.240946937258838	0.248906388508179	0.622265971270447	0.02847649708745	0.0711912427186251	0	8.3	-8.3	0.444444444444444	1	32	52	-20	0.486050710457106	0.998382046505458
HPV58	Frozen	0.648426171593002	0.727669567040056	0.138975140012725	0.58317362467177	0.630446061769256	0.00491257363842845	0.0245628681921422	20	8.3	11.7	0.605128205128205	1	55	51	4	0.992176045665258	0.998382046505458
HPV59	Frozen	0.331025308655608	0.711640614496875	0.256437782206903	0.213025544862883	0.622265971270447	0.119003241545431	0.198338735909052	6.7	0	6.7	1	1	72	51	21	0.486050710457106	0.998382046505458
HPV16	FFPE	0.805344177317092	0.805344177317092	-0.027351629397191	0.664276808826945	0.664276808826945	0.995977482210571	0.995977482210571	59.1	45	14.1	0.536862643025848	0.858980228841356	52	51	1	0.999993457916089	0.999993457916089
HPV18	FFPE	0.579148720843888	0.805344177317092	-0.113990390070016	0.429031331724156	0.664276808826945	0.939302997446003	0.995977482210571	18.2	35	-16.8	0.298271603149652	0.858980228841356	49	52	-3	0.863333781255282	0.999993457916089
HPV31	FFPE	0.738807791719011	0.805344177317092	0.034000423804219	0.578905049466367	0.664276808826945	0.85135331264584	0.995977482210571	4.5	5	-0.5	1	1	48	51	-3	0.779594440040051	0.999993457916089
HPV33	FFPE	0.0942626355760574	0.754101084608459	0.284522338181576	0.0785315085885018	0.314126034354007	0.358953621122619	0.995977482210571	9.1	0	9.1	0.488966318234611	0.858980228841356	71	50	21	0.217708401876627	0.999993457916089
HPV45	FFPE	0.741057132951414	0.805344177317092	-0.0750982354177151	0.596104316598467	0.664276808826945	0.588475740263516	0.995977482210571	9.1	10	-0.9	1	1	49	51	-2	0.587750232271152	0.999993457916089
HPV58	FFPE	0.679302152613879	0.805344177317092	0.107551606722766	0.370144068983968	0.664276808826945	0.7834779184795	0.995977482210571	9.1	5	4.1	1	1	48	51	-3	0.976258913251359	0.999993457916089
HPV67	FFPE	0.704789999434256	0.805344177317092	-0.101997581842152	0.566636287639413	0.664276808826945	0.93758187543412	0.995977482210571	0	5	-5	0.476190476190476	0.858980228841356	46	51	-5	0.879415380302114	0.999993457916089
HPV73	FFPE	0.314934105253535	0.805344177317092	0.162005745973078	0.0559523962305533	0.314126034354007	0.134690026410582	0.995977482210571	9.1	0	9.1	0.488966318234611	0.858980228841356	61	51	10	0.322576214894606	0.999993457916089
