HPV.type	comparison	logistic.regression.pvalue	logistic.regression.fdr	hpv.type.cor	linear.regression.pvalue	linear.regression.fdr	limma.voom.pvalue	limma.voom.fdr	fe.percent.detection.gt2000	fe.percent.detection.lt2000	fe.detection.diff	fe.pvalue	fe.fdr	ks.avg.pos	ks.avg.neg	ks.detection.diff	ks.pvalue	ks.fdr
HPV16	Overall	0.193815125482481	0.479010727359465	-0.15554187344957	0.458793480608855	0.601768609918202	0.384064838849623	0.493797649949515	56.5	60.9	-4.4	0.832483325471065	1	1998	2001	-3	0.991635903301266	0.991635903301266
HPV18	Overall	0.296076854027193	0.479010727359465	0.137083957036957	0.0836978687442764	0.509139707302333	0.503348122764118	0.566266638109633	26.1	19.6	6.5	0.620051163253454	1	2002	1999	3	0.603562479644953	0.991635903301266
HPV31	Overall	0.413568230240739	0.479010727359465	0.0161189588786476	0.604321144023463	0.679861287026396	0.196090449082621	0.294135673623931	2.2	4.3	-2.1	1	1	1999	1999	0	0.989006885597568	0.991635903301266
HPV33	Overall	0.365387049149147	0.479010727359465	0.138752531341445	0.34433566669053	0.601768609918202	0.0959513089444782	0.248639789781425	4.3	0	4.3	0.494505494505494	1	2010	1999	11	0.418010971317389	0.991635903301266
HPV45	Overall	0.140834828690135	0.479010727359465	-0.113235355304181	0.269043499309631	0.601768609918202	0.110506573236189	0.248639789781425	2.2	10.9	-8.7	0.203126397043483	1	1994	2000	-6	0.400658497264815	0.991635903301266
HPV58	Overall	0.241445406061375	0.479010727359465	0.0644552447372025	0.285842778003184	0.601768609918202	0.0995777751762204	0.248639789781425	19.6	26.1	-6.5	0.620051163253454	1	1999	1999	0	0.736255113076408	0.991635903301266
HPV59	Overall	0.758399610690011	0.758399610690011	-0.0547574451127753	0.867899126433604	0.867899126433604	0.886168524226561	0.886168524226561	2.2	2.2	0	1	1	2000	1999	1	0.990002881579966	0.991635903301266
HPV67	Overall	0.425787313208414	0.479010727359465	-0.0256809969318519	0.468042252158602	0.601768609918202	0.154800823770224	0.278641482786403	0	2.2	-2.2	1	1	1995	1999	-4	0.965643023588727	0.991635903301266
HPV73	Overall	0.149325734257387	0.479010727359465	0.209545240988043	0.113142157178296	0.509139707302333	0.0247831835857987	0.223048652272188	4.3	0	4.3	0.494505494505494	1	2015	1999	16	0.0653633027097038	0.588269724387334
HPV16	Frozen	0.215887103453205	0.530851764336903	-0.205524740090645	0.366555376421065	0.893289272860685	0.248704677205698	0.443115112003347	50	61.5	-11.5	0.708598779788991	1	1991	1996	-5	0.697645540414312	0.998581534128975
HPV18	Frozen	0.245320481863249	0.530851764336903	0.212322805964937	0.137591362458938	0.687956812294689	0.425795364574861	0.532244205718576	30	19.2	10.8	0.657626120526075	1	1997	1992	5	0.10793759787254	0.5396879893627
HPV45	Frozen	0.514140288601765	0.642675360752206	-0.118669861916553	0.5399610535124	0.893289272860685	0.159360685344649	0.443115112003347	0	7.7	-7.7	1	1	1988	1994	-6	0.998581534128975	0.998581534128975
HPV58	Frozen	0.318511058602142	0.530851764336903	0.13662756102247	0.893289272860685	0.893289272860685	0.600023236330754	0.600023236330754	20	7.7	12.3	0.304812834224599	1	1998	1993	5	0.559559771259005	0.998581534128975
HPV59	Frozen	0.834536159769652	0.834536159769652	-0.0366283548624626	0.795720588912121	0.893289272860685	0.265869067202008	0.443115112003347	0	3.8	-3.8	1	1	1991	1993	-2	0.860558619228494	0.998581534128975
HPV16	FFPE	0.540159640791287	0.607679595890198	-0.0309362553948782	0.826676714124127	0.826676714124127	0.945300761552066	0.945300761552066	58.3	60	-1.7	1	1	2003	2004	-1	0.999996826829733	0.999996826829733
HPV18	FFPE	0.73603025777604	0.73603025777604	0.115860374725596	0.383378000744862	0.664382633787233	0.864484749633117	0.945300761552066	25	20	5	0.751757685253425	0.966545595325833	2004	2003	1	0.988565869350826	0.999996826829733
HPV31	FFPE	0.413568065572128	0.607679595890198	-0.0667250635497904	0.616891231716054	0.747622596520058	0.247221390016039	0.401717083244936	2.8	10	-7.2	0.287878787878788	0.798701298701299	1999	2004	-5	0.947864359757681	0.999996826829733
HPV33	FFPE	0.365373209128222	0.607679595890198	0.13209266999117	0.331053740001348	0.664382633787233	0.00853788978126762	0.0474190788650974	5.6	0	5.6	0.532467532467533	0.798701298701299	2010	2003	7	0.636537514858802	0.999996826829733
HPV45	FFPE	0.1814869693603	0.544460908080901	-0.131723959590749	0.336963830505848	0.664382633787233	0.588931675328831	0.757197868279925	2.8	15	-12.2	0.124928530588908	0.562178387650086	1997	2004	-7	0.396770611507318	0.999996826829733
HPV58	FFPE	0.0446430683606243	0.401787615245619	-0.105904944025091	0.267598071233896	0.664382633787233	0.0253367164082368	0.0760101492247104	19.4	50	-30.6	0.0319848276098303	0.287863448488473	2000	2005	-5	0.31120637552783	0.999996826829733
HPV59	FFPE	0.524758312791551	0.607679595890198	0.0602824994796297	0.664553419128941	0.747622596520058	0.267811388829957	0.401717083244936	2.8	0	2.8	1	1	2010	2003	7	0.837467808742154	0.999996826829733
HPV67	FFPE	0.425787231443199	0.607679595890198	-0.105604927611429	0.442921755858155	0.664382633787233	0.188505303330963	0.401717083244936	0	5	-5	0.357142857142857	0.798701298701299	1995	2004	-9	0.811552851051677	0.999996826829733
HPV73	FFPE	0.149325685032246	0.544460908080901	0.240722650964522	0.0698050425379917	0.628245382841926	0.0105375730811328	0.0474190788650974	5.6	0	5.6	0.532467532467533	0.798701298701299	2015	2003	12	0.08125833540932	0.73132501868388
