PairID	type	plink.IBD.PI_HAT
2436.parents	1KG.parent.to.parent	0.1262
CLM27.parents	1KG.parent.to.parent	0.0151
CLM42.parents	1KG.parent.to.parent	0
IBS015.parents	1KG.parent.to.parent	0
IBS060.parents	1KG.parent.to.parent	0.0471
m002.parents	1KG.parent.to.parent	0.0262
PEL014.parents	1KG.parent.to.parent	0.1071
PR08.parents	1KG.parent.to.parent	0
PR31.parents	1KG.parent.to.parent	0.04
SH001.parents	1KG.parent.to.parent	0.1199
SH014.parents	1KG.parent.to.parent	0.1239
SH025.parents	1KG.parent.to.parent	0.1404
SH064.parents	1KG.parent.to.parent	0.1258
Y019.parents	1KG.parent.to.parent	0.2615
Y028.parents	1KG.parent.to.parent	0.2593
Y044.parents	1KG.parent.to.parent	0.2871
Y056.parents	1KG.parent.to.parent	0.2935
Y105.parents	1KG.parent.to.parent	0.3014
Y116.parents	1KG.parent.to.parent	0.2984
Y120.parents	1KG.parent.to.parent	0.2788
2436.child	1KG.child.to.parent.avg	0.56985
CLM27.child	1KG.child.to.parent.avg	0.50915
CLM42.child	1KG.child.to.parent.avg	0.5
IBS015.child	1KG.child.to.parent.avg	0.5073
IBS060.child	1KG.child.to.parent.avg	0.5189
m002.child	1KG.child.to.parent.avg	0.5172
PEL014.child	1KG.child.to.parent.avg	0.54505
PR08.child	1KG.child.to.parent.avg	0.50475
PR31.child	1KG.child.to.parent.avg	0.5071
SH001.child	1KG.child.to.parent.avg	0.5609
SH014.child	1KG.child.to.parent.avg	0.57005
SH025.child	1KG.child.to.parent.avg	0.57985
SH064.child	1KG.child.to.parent.avg	0.5698
Y019.child	1KG.child.to.parent.avg	0.6382
Y028.child	1KG.child.to.parent.avg	0.6426
Y044.child	1KG.child.to.parent.avg	0.6364
Y056.child	1KG.child.to.parent.avg	0.64055
Y105.child	1KG.child.to.parent.avg	0.6464
Y116.child	1KG.child.to.parent.avg	0.64455
Y120.child	1KG.child.to.parent.avg	0.636
E660.15-E660.13	QCarray	0.03
E660.15-E555.07	QCarray	0
E660.15-E660.14	QCarray	0.0159
E660.15-E373.57	QCarray	0
E660.15-E373.59	QCarray	0
E660.15-E373.65	QCarray	0
E660.15-E389.47	QCarray	0.0554
E660.15-E337.9	QCarray	0.0277
E660.15-E775.02	QCarray	0
E660.15-E775.04	QCarray	0
E660.15-E660.12	QCarray	0.1665
E660.15-E772.13	QCarray	0
E660.15-E660.11	QCarray	0.1497
E660.15-E772.16	QCarray	0
E660.15-E660.10	QCarray	0.0508
E660.15-E620.10	QCarray	0
E660.15-E741.18	QCarray	0
E660.15-E620.09	QCarray	0.0524
E660.15-E731.01	QCarray	0.0212
E660.15-E775.13	QCarray	0.0603
E660.15-E500.24	QCarray	0
E660.15-S51423.T	QCarray	0
E660.15-S51425.T	QCarray	0
E660.15-S51434.T	QCarray	0.0328
E660.15-S51435.T	QCarray	0
E660.15-S51436.T	QCarray	0.0702
E660.15-S51445.T	QCarray	0
E660.15-S51446.T	QCarray	0.0362
E660.15-S51540.T	QCarray	0
E660.15-S51451.T	QCarray	0
E660.15-S51453.T	QCarray	0
E660.15-S51454.T	QCarray	0.0275
E660.15-S51455.T	QCarray	0
E660.15-S51458.T	QCarray	0
E660.15-S51468.T	QCarray	0
E660.15-S51472.T	QCarray	0
E660.15-S51481.T	QCarray	0
E660.15-S51484.T	QCarray	0
E660.15-S51485.T	QCarray	0
E660.15-S51486.T	QCarray	0
E660.15-S51487.T	QCarray	0
E660.15-S51417.T	QCarray	0
E660.15-S51418.T	QCarray	0
E660.15-S51420.T	QCarray	0
E660.15-S51424.T	QCarray	0
E660.15-S51427.T	QCarray	0
E660.15-S51429.T	QCarray	0
E660.15-S51430.T	QCarray	0
E660.15-S51431.T	QCarray	0
E660.15-S51432.T	QCarray	0
E660.15-S51441.T	QCarray	0
E660.15-S51448.T	QCarray	0
E660.15-S51449.T	QCarray	0
