HPV.type	comparison	limma.voom.pvalue	limma.voom.fdr	FE.detection.diff	FE.pvalue	FE.fdr	binomialGLM.pvalue	binomialGLM.fdr
HPV16	DNA-SCC_vs_AdenoTypes-1var-qPCR20	0.00611862200716077	0.0122372440143215	82.6%	0.05	0.1	0.99454544702596	0.997322914104121
HPV18	DNA-SCC_vs_AdenoTypes-1var-qPCR20	8.82382817033612e-06	3.52953126813445e-05	-91.3%	0.02	0.08	0.996381414332009	0.997322914104121
HPV58	DNA-SCC_vs_AdenoTypes-1var-qPCR20	0.29626628591208	0.395021714549439	4.3%	1	1	0.997322914104121	0.997322914104121
HPV59	DNA-SCC_vs_AdenoTypes-1var-qPCR20	0.879085637596281	0.879085637596281	8.7%	1	1	0.997194956632694	0.997322914104121
HPV16	Frozen-SCC_vs_AdenoTypes-1var-qPCR20	0.011023502756508	0.0275587568912699	44.2%	0.0800766283524905	0.200191570881226	0.0810627087319035	0.202656771829759
HPV18	Frozen-SCC_vs_AdenoTypes-1var-qPCR20	0.00102394849030447	0.00511974245152237	-49.3%	0.0334806955496611	0.167403477748305	0.0282147037867265	0.141073518933633
HPV45	Frozen-SCC_vs_AdenoTypes-1var-qPCR20	0.538314300233228	0.672892875291536	4.3%	1	1	0.997005873054324	0.997005873054324
HPV58	Frozen-SCC_vs_AdenoTypes-1var-qPCR20	0.950340544623674	0.950340544623674	-3.7%	1	1	0.81915913208924	0.997005873054324
HPV59	Frozen-SCC_vs_AdenoTypes-1var-qPCR20	0.426568730946704	0.672892875291536	4.3%	1	1	0.997005873053308	0.997005873054324
HPV16	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.392241433922961	0.639611817945623	-19.9%	0.326423631912115	0.61602787456446	0.23239582571931	0.929583302877239
HPV18	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.38177709273047	0.639611817945623	-24.4%	0.14031615113273	0.61602787456446	0.103298010793454	0.82638408634763
HPV31	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.635415295698791	0.66377052370951	7.4%	0.539024390243902	0.61602787456446	0.996962404478062	0.997085718558129
