HPV.type	comparison	min5.detection.diff	min5.FE.pvalue	min5.FE.fdr	min20.detection.diff	min20.FE.pvalue	min20.FE.fdr	limma.voom.pvalue	limma.voom.fdr	binomialGLM.pvalue	binomialGLM.fdr	linear.lm.1var.pvalue	linear.lm.1var.fdr	linear.lm.2var.pvalue	linear.lm.2var.fdr	log.lm.1var.pvalue	log.lm.1var.fdr	log.lm.2var.pvalue	log.lm.2var.fdr
HPV16	FFPE_vs_DNA	-11.7%	0.440026409282082	0.792047536707747	-22.5%	0.0762103673151011	0.592625109745391	0.286993947494438	0.286993947494438	0.300009849534231	0.67502216145202	0.0077691526350883	0.0699223737157947	0.011706339795657	0.105357058160913	0.114772755528082	0.266008290763897	0.131352538007715	0.258772993205334
HPV18	FFPE_vs_DNA	19.7%	0.112994260125242	0.50847417056359	9.6%	0.545268611959586	0.701059643948039	3.67545418650606e-05	5.51318127975909e-05	0.0806201002863484	0.362790451288568	0.593921540543697	0.593921540543697	0.489851652839699	0.489851652839699	0.0544581223976993	0.245061550789647	0.0514619455955042	0.231578755179769
HPV31	FFPE_vs_DNA	5.4%	0.548757618377872	0.823136427566807	4.7%	0.52809482001756	0.701059643948039	6.30142435066758e-06	1.4178204789002e-05	0.996018689684857	0.996114126073928	0.293451616033115	0.469320329245106	0.351769512908102	0.489851652839699	0.177338860509265	0.266008290763897	0.238103127681415	0.357154691522123
HPV33	FFPE_vs_DNA	3.6%	1	1	4.7%	0.52809482001756	0.701059643948039	3.30321242581463e-05	5.51318127975909e-05	0.996114126071604	0.996114126073928	0.365026922746193	0.469320329245106	0.331845265906546	0.489851652839699	0.409403350456575	0.409403350456575	0.422068477643824	0.436605472989188
HPV45	FFPE_vs_DNA	7.1%	0.305780951350572	0.688007140538786	9.3%	0.28851219018032	0.701059643948039	0.000788398896796837	0.00101365572445308	0.993693150233951	0.996114126073928	0.208646180855292	0.469320329245106	0.176085790812297	0.396193029327668	0.168976589900335	0.266008290763897	0.143762774002964	0.258772993205334
HPV58	FFPE_vs_DNA	35.3%	0.00100267732761075	0.00902409594849676	3%	1	1	5.36874204657586e-24	4.83186784191828e-23	0.00942333052597769	0.0848099747337992	0.0317391214276663	0.142826046424499	0.0445167055925342	0.156224776824203	3.17879949809977e-06	2.86091954828979e-05	3.86164894948137e-07	3.47548405453324e-06
HPV59	FFPE_vs_DNA	-6.2%	0.223863103609939	0.671589310829817	-8%	0.131694468832309	0.592625109745391	2.34114312365888e-08	1.0535144056465e-07	0.210411721086468	0.631235163259405	0.0650626314277636	0.195187894283291	0.0520749256080677	0.156224776824203	0.154381974933884	0.266008290763897	0.114760135495854	0.258772993205334
HPV67	FFPE_vs_DNA	3.6%	1	1	2.3%	1	1	8.15741608684618e-07	2.44722482605385e-06	0.996114126073484	0.996114126073928	0.447594661399137	0.503543994074029	0.451580456469493	0.489851652839699	0.309493235630874	0.3879698077589	0.368829558410799	0.436605472989188
HPV73	FFPE_vs_DNA	3.6%	1	1	4.7%	0.52809482001756	0.701059643948039	0.00826222557537222	0.00929500377229375	0.996114126073928	0.996114126073928	0.34489943889911	0.469320329245106	0.436661822430598	0.489851652839699	0.344862051341245	0.3879698077589	0.436605472989188	0.436605472989188
HPV16	FFPE_vs_Frozen	6.4%	0.665848063979876	0.856090367974127	-4.8%	0.820389559445443	0.922938254376123	0.871542243855501	0.871542243855501	0.532003443417248	0.995209182765986	0.287845277410755	0.470606827646276	0.0317513389625388	0.142881025331425	0.608526750428221	0.742959324041417	0.442215579033137	0.568562887328319
HPV18	FFPE_vs_Frozen	14.6%	0.169046534846302	0.760709406808358	3.4%	0.795770247334361	0.922938254376123	0.00526730469129133	0.00677224888880314	0.130916764439415	0.589125439977369	0.95969580826693	0.961592556825647	0.557296053536561	0.626958060228631	0.331312317155052	0.496968475732578	0.399695205907024	0.568562887328319
HPV31	FFPE_vs_Frozen	5.4%	0.269732326698696	0.769732326698696	4.7%	0.497565725413827	0.922938254376123	3.95934149396471e-13	1.18780244818941e-12	0.995091521614395	0.995209182765986	0.194739741773079	0.470606827646276	0.166487962238916	0.410346633255727	0.0961426318791539	0.432641843456192	0.0679594789133613	0.305817655110126
HPV33	FFPE_vs_Frozen	3.6%	0.513154884465797	0.769732326698696	4.7%	0.497565725413827	0.922938254376123	6.14996822588022e-16	5.5349714032922e-15	0.995209182765986	0.995209182765986	0.246591267877307	0.470606827646276	0.312468562456267	0.560970493042042	0.160217369946455	0.438417784463047	0.182743967090294	0.32893914076253
HPV45	FFPE_vs_Frozen	1.8%	1	1	3.7%	0.682997953484296	0.922938254376123	0.000655093437668733	0.00107013973913405	0.715466966121854	0.995209182765986	0.961592556825647	0.961592556825647	0.820966071212281	0.820966071212281	0.742959324041417	0.742959324041417	0.945920829884607	0.945920829884607
HPV58	FFPE_vs_Frozen	23.5%	0.0208833523580578	0.187950171222521	-4.1%	0.696025434847955	0.922938254376123	3.19849338833717e-15	1.43932202475173e-14	0.017710869472051	0.159397825248459	0.113301506453622	0.470606827646276	6.5279155258339e-05	0.000587512397325051	0.0173314038450344	0.15598263460531	1.56481011591671e-09	1.40832910432504e-08
